,address,categories,conditions,duties,employment,experience,name,requirements,salary,url
388,"Тюменская обл.,  Тюмень, ул. Республики, д. 142","IT, Интернет, связь, телеком, Программист 1С","Рабочее место в центре города;График работы с 9-00 до 18-00;Официальное трудоустройство;При необходимости проводится обучение;Дружелюбный коллектив;Полис ДМС, материальная помощь к отпуску","Сфера деятельности: разработка / программирование ITУчастие в масштабных проектах внедрения, обновления и поддержки в качестве разработчика систем 1С Предприятие в сфере здравоохранения.Разработка отчетных форм, интерфейса пользователя, расширение стандартного функционала системы, разработка интеграционных решений.Отладка, тестирование и оптимизация разработанного ПО. Документирование разработок согласно внутренним стандартам предприятия.",полная занятость,опыт работы от 1 года,Программист 1С Медицина (РС ЕГИСЗ сфера здравоохранения),"Законченное высшее образование (техническое, информационные технологии).Опыт программирования от 2-х лет (желательно 1С или любой современный ООП язык программирования (Java, C#, C++));Опыт работы с реляционными СУБД, знание SQL, навыки проектирования БД.Представление о современных методологиях разработки (Unit-тестирование, непрерывная интеграция, итеративная разработка).Умение общаться с людьми, работать в команде. Ответственность, дисциплинированность.Ваши преимущества:Опыт разработки, поддержки и доработки конфигурации 1С 8.xНаличие одного или нескольких сертификатов по платформе 1С: Предприятие или по типовым решениям 1СОпыт оптимизации быстродействия разработок, работы со сложными SQL запросами.Владение JavaScript, HTML5, CSS.Если вы чего-то не умеете, но чувствуете в себе силы и интерес, то отправляйте резюме!• Высшее образование• Английский язык (технический)",49000₽,https://www.superjob.ru/vakansii/programmist-1s-medicina-28744240.html
389,Москва,"Наука, образование, повышение квалификации, Секретарь","- Стабильная заработная плата + система мотивации;- Социальный пакет (медицинская страховка, своя столовая, льготное питание, корпоративные скидки на посещение фитнес-центра);- Компания проводит обучение и сертификацию сотрудников;- Возможность профессионального и карьерного роста;- Территориально м. Бауманская/м. Красные ворота.","Сфера деятельности Учебного центра «Сетевая Академия ЛАНИТ» - корпоративные проекты повышения квалификации персонала в области информационных технологий и авторизованное обучение IT-специалистов. Компания проводит обучение по продуктам и технологиям Microsoft, Cisco, Citrix, Novell, SCO, Adobe, IBM, а также сертификационные тесты на право получения официальных статусов от ведущих производителей IT (MCTS, MCSE, CCNA, CCNP и пр.).- Организация тестирования для специалистов компаний и частных лиц;- Заказ тестов в двух разных тестовых системах;- Выставление счетов, договоров и актов о проведении тестирования.",полная занятость,опыт работы не требуется,Секретарь учебного центра,"- Умение четко соблюдать требования по документообороту и процедуре регистрации клиентов;- Высшее образование;- Английский язык не ниже уровня intermediate (чтение и ведение англоязычной документации, телефонные переговоры).• Высшее образование• Английский язык (разговорный)",40000₽,https://www.superjob.ru/vakansii/sekretar-uchebnogo-centra-31650294.html
390,"Москва, ул. Ватутина, д. 1","Специалист по планированию, IT, Интернет, связь, телеком","• Оформление, отпуск, больничный по ТК РФ;• Корпоративное обучение и тренинги;• Возможность профессионального и карьерного роста;• Медицинское обслуживание в ведомственной поликлинике МЧС России, отдых в пансионатах, бесплатный спортивный комплекс с бассейном на территории работодателя;• График 5/2, материальное стимулирование по итогам квартала и года;• Работа в дружном молодом коллективе над интересными задачами.","- ведение реестров, контроль информационного наполнения базы данных;- управление медиа-контентом, ""расписаниями трансляций"";- подготовка статистической и аналитической информации по работе информационной системы, медийному наполнению;- ведение документооборота: разработка писем, претензий, извещений, требований и иных документов;- согласование договоров, дополнительных соглашений с учетом особенностей объектов;- поддержка в актуальном состоянии регламентирующей документации;- мониторинг состояния объектов ИТ -инфраструктуры;- контроль технического состояния и сохранности эксплуатируемого оборудования;- выполнение параметров SLA по ключевым сервисам информационной системы;- выезд на площадки для проведения инвентаризации инфраструктурных объектов комплекса;- взаимодействие с подрядчиками по обслуживанию объектов комплекса.",полная занятость,опыт работы от 1 года,Специалист группы планирования трансляций,"1. высшее образование (желательно техническое);2. умение составлять и поддерживать в актуальном состоянии документацию.;3. опыт работы с цифровым контентом;4. опыт подготовки расписаний, планов трансляций;5. аналитический склад ума и ориентированность на достижение результата, ответственность.• Высшее образование",45000₽,https://www.superjob.ru/vakansii/specialist-gruppy-planirovaniya-translyacij-31653902.html
391,"Санкт-Петербург, ул. Аккуратова, д. 2","IT, Интернет, связь, телеком, Веб-программист","- м. Удельная;- график работы: частичная занятость на 0,5 ставки, гибкий график работы (5/2);- заработная плата от 12000 р.;- оформление согласно ТК РФ;- льготное медицинское обслуживание.",- поддержка и развитие инфраструктуры сайта и портала Института медицинского образования;- разработка плагинов для сайта и портала;- техническая поддержка образовательного процесса.,,опыт работы от 1 года,Программист,"- высшее техническое образование, возможно неоконченное высшее (бакалавр);- уверенный пользователь ПК, владеющий IT терминологией;- знание языков HTML, JS, PHP;- знание CSS;- знание теории основ программирования и ООП;- опыт работы с CMS;- умение читать и разбираться в чужом коде;- умение пользоваться средствами отладки на сервере и клиенте;- способность самостоятельно искать готовые программные решения, адаптировать их под требуемую задачу и внедрять;- английский технический.• Высшее образование• Английский язык (технический)",12000₽,https://www.superjob.ru/vakansii/programmist-30508751.html
392,"Москва, ул Горбунова, д. 2","Системный администратор, IT, Интернет, связь, телеком",Трудоустройство по ТК РФСовременный БЦКомпенсация на питание,"Администрирование и мониторинг пользователей, всего парка ПК, серверного, сетевого оборудования, СУБД, почтовых систем, систем архивирования данных, ВКС, СКУД, систем защиты информации, систем оперативного и бухгалтерского учета, ip-телефонии. Проектирование, монтаж, модернизация СКС. Участие в развитии ИТ инфраструктуры, ИТ процессов компании. Разработка различных политик доступа к информационным ресурсам, справочно - нормативной документации, составление отчетов. Обеспечение отказоустойчивости территориально-распределенной информационной системы, проведение регламентированных профилактических работ.",полная занятость,опыт работы от 3 лет,Старший системный администратор,"Высшее образование в сфере ИТЗнания:- всех настольных операционных систем семейства Windows- всех серверных операционных систем семейства Windows и их основных служб, ролей.- современных серверных платформ- аппаратных частей ПК (опыт поиска и устранения неисправностей, мелкий ремонт)- основных сетевых протоколовОпыт работы с:- сетевым коммутационным оборудованием 2 и 3 уровня- межсетевыми экранами- 1С (администрирование)- операционными системами Linux, FreeBSD- системами виртуализации: MS Hyper-V, VmWare- СУБД: MS SQL Server, MySQL- написанием скриптов: VBS, SQL, Powershell- системами архивации данных: Windows Backup, Acronis и т.д.- системами централизованного управления информационной безопасности- почтовыми системами: MS Exchange- ip-телефонией- системами ВКС• Высшее образование",70000₽,https://www.superjob.ru/vakansii/starshij-sistemnyj-administrator-31653657.html
393,Москва,"Менеджер, IT, Интернет, связь, телеком","• Испытательный срок - 3 мес.• З/п от 50 тыс.руб, (размер заработной платы обсуждается с успешным кандидатом)• ДМС после испытательного срока• м. Дубровка, с возможным переездом на м. Технопарк","• Работа с партнерами компании: формирование отчетности для партнера, организация документооборота, контроль продаж музыкального контента согласно договору и т.п.• Ведение внутреннего учета. Взаимодействие с бухгалтерией.• Работа с внутренними базами в части музыкальных прав и договоров: внесение данных/редактирование/удаление. Взаимодействие с ИТ.• Первичная подготовка юридических документов. Взаимодействие с юристом.• Работа с конфликтами музыкальному прав.• Работа с YouTube: проверка контента на наличие прав, установления прав на контент, решение конфликтов.• Сбор и предоставление информации по запросам правообладателей.• Предоставление информации по запросам руководства.",,полная занятость,Менеджер по работе с правообладателями и ведению отчетности,"• Высшее образование.• Продвинутый пользователь MS Office, продвинутый пользователь Excel (сводные таблицы, ВПР)• Умение обработать большой массив данных.• Умение понимать условия, описанные в договорах.• Умение расставить приоритеты по выполняемым задачам,• Желателен опыт работы в области музыкальных прав.• Желателен опыт работы с YouTube.• Знание английского языка является плюсом.• Внимательность, ответственность, дипломатичность.• Высшее образование",50000₽,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-pravoobladatelyami-i-vedeniyu-otchetnosti-31559999.html
394,Москва,"Маркетинг, реклама, PR, Телемаркетолог","График работы 5/2 с 9.00 до 18.00Предоставляется доступ к основным ресурсам по трудоустройству, а также IT поддержка.Трудоустройство по ТК РФ.Фиксированный оклад 20 000 р. + бонусы.Оплата мобильного телефона и интернета.","В кадровое агентство (на рынке с 2003 года), головной офис в Москве, а также есть филиалы в регионах, приглашаем телемаркетолога на удаленную работу.Поиск новых клиентов и активное сотрудничество с постоянными. Обзвон клиентов и информирование о деятельности компании.• Поддержание и расширение клиентской базы.• Составление отчетности.",удалённая работа,полная занятость,Телемаркетолог,"Возможность работать на дому.Наличие компьютера, хорошего интернета - обязательно.Наличие отдельного рабочего места.Возможность работать полный рабочий день.Знание Word и ExselОпыт работы с людьми.Приветствуется:- ответственность;- активная жизненная позиция.Рассматриваются кандидаты с инвалидностью• Высшее образование",20000—30000₽,https://www.superjob.ru/vakansii/telemarketolog-31521363.html
395,"Ростов-на-Дону, Доломановский пер., д. 130","Продажи, Менеджер по продажам","Профессиональное обучение продукту. Если вы сейчас не разбираетесь в специфике рынка IT-услуг, это поправимо. Всего за небольшой промежуток времени мы научим вас всему, что нужно для этой профессии.Профессиональное обучение продажам бесплатно. Вам не нужно будет бегать по разным тренингам за свой счет. Обучение проходит по самым современным и лучшим методикам.Карьерный рост. Уже в первые 2 месяца вы можете выдвинуть кандидатуру на должность старшего менеджера по продажам.Прозрачная мотивация, которая не зависит от руководства и его настроения. Вы будете ясно понимать, сколько заработаете и сможете планировать свой бюджет:Оклад + высокий % от продаж + бонусы за перевыполнение плана.Среднемесячный доход менеджера по продажам 60 000 руб.Компенсация транспортных расходов.Официальное оформление согласно ТК РФ.График работы 5/2 (понедельник – пятница с 8.00 до 17.00).Продавать наши услуги проще, чем услуги конкурентов, благодаря:Продукт разработан с учетом конкурентной ситуации и имеет массу преимуществ.Использование СRМ-системы помогает вести учет клиентов.Оперативному согласованию коммерческих условий для потенциальных клиентов.Прописанным и понятным инструкциям по взаимодействию между отделами компании и с клиентами.Регулярному обучению продуктам компании и техникам продаж.Специально разработанным для менеджеров рекламным материалам.Использованию корпоративных планшетов для презентации услуг компании клиентам.Именно поэтому нам доверяют компании: Чистый город, Сбербанк, Ключавто и многие другие крупные организации.","«Цифровой Диалог» - крупнейший региональный оператор связи Ростовской области, с 2005 г. предоставляет услуги связи для бизнеса, такие как: интернет, телефония, видеонаблюдение, каналы связи, виртуальная АТС, ИТ-обслуживание, WiFi обслуживание и авторизация пользователей.Проработка вверенной территории, на которой Вы будете проводить встречи с первыми лицами и собственниками бизнеса, общаться, презентовать услуги компании и заключать договора.",,полная занятость,Менеджер по продажам,"Если у Вас нет опыта работы, но Вы уверенны, что справитесь, то откликайтесь на вакансию.В комментарии напишите, почему Вы думаете, что подходите на эту должность.",40000—100000₽,https://www.superjob.ru/vakansii/menedzher-po-prodazham-31487561.html
396,Братск,"Системный администратор, IT, Интернет, связь, телеком","1. Оформление по ТК РФ, оплачиваемый больничный лист и отпуск.2. Работа в крупной компании.3. Полный рабочий день.4. Заработная плата выплачивается вовремя (оклад + премия), в среднем 30-35 тыс.рублей.5. Рабочее место: Братск, Центральный р-он.","- Сетевое администрирование: контроль и настройка работы сетевого оборудования, обеспечение безопасности сетей, администрирование серверов и рабочих станций.- Управление сервисами ИТ: внедрение и сопровождение систем телекоммуникаций; администрирование баз данных; обеспечение системы доступа к сетевым ресурсам и прав доступа к режимам и функциям прикладного программного обеспечения.- Обеспечение правильности технической эксплуатации ресурсов ИТ, организация технического обслуживания и ремонта офисной техники.",полная занятость,опыт работы от 3 лет,Системный администратор,"1. Опыт работы системным администратором от 3х лет, желательно более 5 лет.2. Приветствуются сертификаты Microsoft; Windows ХР/7/8/10, Windows Server 2008/2012, AD, DNS, DHCP, GPO, Hyper-V, умение построения ЛВС, MS-SQL, Exchange3. Личные качества: ответственность, исполнительность, внимательность",30000—35000₽,https://www.superjob.ru/vakansii/sistemnyj-administrator-31678886.html
397,"Москва, Походный пр-д, двлд 3","IT, Интернет, связь, телеком, Администратор сети","Оформление в соответствии с ТК РФ с первого рабочего дня;Сменный график работы: 3 чередующиеся смены по 8 часов, 40 часов в неделю (с 9 до 18; с 17 до 02; с 01 до 10 утра), график составляется за месяц;Заработная плата без задержек 2 раза в месяц на заплатанную карту Сбербанк;Основной отпуск 28 календарных дней, дополнительный оплачиваемый отпуск за ненормированный рабочий день от 5 до 10 календарных дней (в зависимости от должности);Материальная помощь к отпуску;Медицинское обслуживание в ведомственной поликлинике ФНС России (включая стоматологию) для сотрудников и членов их семей;Скидка на питание в столовых, расположенных на территории;Корпоративное изучение английского языка;Возможность отдыха с семьей по льготным ценам в оздоровительных учреждениях ФНС России, детские летние оздоровительные лагеря;Бесплатная охраняемая парковка;Корпоративное обучение;Мы находимся по адресу: Походный проезд, (городок налоговых), ближайшие станции метро Сходненская, Тушинская, Волоколамская (10 минут общественным транспортом), а также пешая доступность от станции «Трикотажная» Рижской железной дороги.",Администрирование текущей системы мониторинга Zabbix;Выполнение работ по развитию системы мониторинга;Выполнение работ по постановке на мониторинг новых объектов мониторинга;Обеспечение бесперебойной работы системы мониторинга в режиме 24/7.,сменный график работы,опыт работы от 1 года,Младший администратор Zabbix,"Образование незаконченное высшее/ высшее.Понимание структуры Zabbix: порты, агенты, прокси.Базовые IT знания: DNS, DHCP, SNMP, маска сети.Знание ОС Linux.Желательны навыки по написанию скриптов и базовые знания БД.Желание обучаться и развиваться.Преимуществом будет опыт администрирования Zabbix.• Неполное высшее образование",40000—50000₽,https://www.superjob.ru/vakansii/mladshij-administrator-zabbix-31401473.html
398,Москва,"Помощник системного администратора, IT, Интернет, связь, телеком","Рабочий день с 09:00 до 18:00Обед 13:00-14:00Возможность смещения графика работы (по договоренности), совмещение с учебойСтавка заработной платы зависит от успешности прохождения этапов обучения.Испытательный срок 3 месяцаРабота по ТК РФ,отпуск 28 рабочих дней","- своевременное выполнение учебного плана.- удаленный мониторинг работоспособности серверов, резервных копий. Составление отчетов.- удаленное управление серверами, рабочими станциями, сетевыми устройствами, настройка и обновление ПО. Регистрация изменений.- участие в развитие и централизации системы удаленного управления и мониторинга.- настройка новых станций пользователей и серверов.- диагностика и устранение неисправностей поступающей в офис компьютерной техники.- поддержка и модернизация существующих компьютерных систем клиента, удаленное решение задач, настройка удаленного мониторинга серверов и рабочих станций (на базе Windows), дистанционное выявление неполадок и их решение. При необходимости выезд на место поломки. Отчеты о произведенных работах, документирование.- поддержка удаленных пользователей.",полная занятость,опыт работы не требуется,Помощник/стажер системного администратора,"К кандидату: Абстрактное мышление, логика, ответственность, умение общаться с конечным пользователем.Необходимо иметь представление о:- ОС Windows XP, Vista, Seven.- Пользовательское ПО (Skype, MS Office, браузеры, почтовые клиенты)- Настройка Антивирусных программ, лечение вирусов (AVZ и т.п.).- Настройка принтеров, МФУ, сканеров (в том числе сетевых), прочая офисная периферия.- Аппаратные (роутеры) и программные файрволы. Почтовый сервер Kerio.- Организация планов резервного копирования при помощи Acronis, Winrar и т.п.- Программы для удаленного управления (Radmin, Teamviwer, Remote Desktop Connection)- Администрирование и обновление типовых конфигураций 1С.- Администрирование программ сдачи отчетности (Контур экстерн, Такском)- Принципах работы Клиент-Банк- Программы шифрования данных (СryptoPro, PGP)- Windows Server 2008-2012• Неполное высшее образование",10000—30000₽,https://www.superjob.ru/vakansii/pomoschnik-26743505.html
399,"Санкт-Петербург, ул. Маршала Говорова","Маркетинг, реклама, PR, Телемаркетолог",- Местоположение офиса в равной удаленности от метро Нарвская или Кировский завод- График работы пн-пт с 10.00 до 19.00- В перспективе повышение до менеджера по продажам/руководителя отдела- З/п 30.000-50.000 т.р (по результатам выполнения плана),"Инженерно-проектная IT-компания, в связи с ростом и расширением отдела продаж приглашает в свою команду телемаркетолога.У нас молодая компания, которая стремительно растет и развивается, каждый квартал появляются новые должности, поэтому перспективным и инициативным сотрудникам открыта дорога для быстрого карьерного роста и материального благосостояния.Мы вкладываем материальные и временные ресурсы в обучение сотрудников, даем возможность участвовать в интересных проектах и учиться у более опытных коллег.- Телефонные переговоры с потенциальными клиентами с целью получение интереса ЛПР к товарам и услугам компании.- Отправка маркетинговых материалов заинтересовавшимся ЛПР.- Заполнение CRM актуальной информацией.",полная занятость,опыт работы не требуется,Телемаркетолог,"- Опыт работы телемаркетологом, оператором Call-центра.- Грамотная устная речь.- Стрессоустойчивость, трудолюбие, настойчивость.- Желание быть частью команды, имеющей высокие стандарты и цели.",30000—50000₽,https://www.superjob.ru/vakansii/telemarketolog-31567573.html
400,"Волгоград, пр-кт им. В.И.Ленина, д. 8","Помощник системного администратора, IT, Интернет, связь, телеком",Полный соц пакет (отпуск 33 к.д.)+ квартальная премия,"Администрирования информационных систем, наполнение сайта,Работа с СПО и пользователями ПК.",,полная занятость,Системный администратор / Помощник системного администратора,Высшее профильное образование!желание развиваться в IT-сфере и получать опытответственность и целеустремленность• Высшее образование,20000—25000₽,https://www.superjob.ru/vakansii/sistemnyj-administrator-31653264.html
401,"г. Москва, проспект Мира, д. 102","IT, Интернет, связь, телеком, Программист 1С","Стабильное развивающееся предприятие с вековой историей.Молодым специалистам - льготы. На производстве действует Совет молодых специалистов.Оформление по Трудовому кодексу РФ, социальные гарантии, медицинское сопровождение.График работы: с 09:00 до 18:00, в пятницу до 15:45.","1. Разработка дополнительной функциональности для различных прикладных решений на базе 1С:УПП и 1С:Документооборот, доработка существующего и разработка нового функционала.2. Настройка, обновление, администрирование стандартных и нетиповых конфигураций на базе 1С.3. Поддержка, доработка механизмов обмена между базами 1С и иными корпоративными системами.4. Участие в планировании развития логики программы 1С с учетом потребностей предприятия.5. Консультация и поддержка пользователей 1С.6. Внедрение новой функциональности.7. Настройка прав доступа учетных записей пользователей.",,полная занятость,Программист 1С,"1. Гражданство РФ2. Понимание основ бухгалтерского, налогового и управленческого учета.3. Отличное знание механизмов учета зарплаты в 1С.4. Опыт программирования на платформе 1С:8 от 1 года, знание основных механизмов разработки (наличие сертификатов приветствуется).5. Знание механизмов обмена данными между конфигурациями 1С и другими системами.6. Знания в области ИТ/технические.• Высшее образование",100000₽,https://www.superjob.ru/vakansii/programmist-1s-31216750.html
402,Череповец,"Строительство, проектирование, недвижимость, Бизнес-консультант","- высокотехнологичная компания с современной корпоративной культурой и известным брендом;- перспективный рынок с всегда востребованным товаром;- стипендия на период испытательного срока;- высокий % с каждой сделки (выплата в день сделки), отсутствие потолка по заработной плате;- бесплатное вводное обучение (1 неделя), процесс адаптации и вхождения в должность - под контролем опытного наставника (в течение 3-х месяцев);- сопровождение сделок опытным юристом, ипотечным брокером;- а также - профессиональные фотографы, обрисовщик планировок, служба маркетинга и рекламы;- уникальная IT-платформа, позволяющая вне офиса работать с базой объектов и клиентов и пользоваться базой знаний;- гибкий график, разъездной характер работы.Вы сами управляете своим временем, процессами и командой.","- работа на перспективном рынке, где нет случайных продаж;- управление своим временем, процессами и командой помощников;- организация сделки, нужной и продавцу, и покупателю;- экспертность и консультирование клиентов;- анализ рынка и объектов недвижимости;- подбор объектов недвижимости, в том числе по входящим заявкам из федеральной филиальной сети;- организация проверки сделки на юридическую безопасность (юристом);- организация и проведение просмотров/показов объектов недвижимости;- организация консультирования по ипотечному кредитованию (ипотечным брокером);- согласование договорных условий, оформление операции с недвижимостью.Всему этому мы учим и даём необходимые инструменты.",,полная занятость,Бизнес-партнер,"- думающий бизнес-партнер, амбициозный, с потенциалом развития, который каждый день повышает свою ценность;- мобильный, самоорганизованный, автономный в принятии решений;- способный влиять на свой результат и свою заработную плату;- умеющий управлять командой в своих сделках, управлять процессами и временем;- с активной жизненной позицией и с эффективной коммуникативной активностью;- с мотивацией на высокий уровень дохода;- с высоким уровнем обучаемости и желанием учиться новому;- способный работать в очень динамичном режиме с большими объёмами информации;- с высшим образованием и широким кругозором;- рассматриваем кандидатов без опыта работы с недвижимостью;- наличие управленческого опыта - будет Вашим преимуществом.• Высшее образование",50000₽,https://www.superjob.ru/vakansii/biznes-partner-31603733.html
403,Оренбург,"Помощник системного администратора, IT, Интернет, связь, телеком","- самореализация и развитие;- официальное трудоустройство, социальный пакет;- профессиональный и карьерный рост;- работа в кругу профессионалов и неравнодушных к своему делу людей;- график: с 09.00 до 18.00, суббота и воскресенье - выходные дни.Заработная плата указана с учетом квартальных и годовых премий.","- Обслуживание рабочих станций пользователей (MS Windows 7, 10);- сопровождение ПО Криста УРМ (документооборот с минфином), СУФД-онлайн, сайтов гос. закупок, информационных систем минздрава РФ и других информационных систем;- Сопровождение ПО Lotus Notes;Совместно с главным системным администратором, в рамках выделенных полномочий:- Администрирование серверных ОС (MS Exchange, файловые серверы, правовые системы), AD;- Администрирование системы виртуализации, систем резервного копирования, антивирусного ПО, UTM-системы;- Администрирование ЛВС, активного сетевого оборудования.- подготовка конкурсной документации для проведения гос. закупок программного обеспечения и вычислительной техники.",полная занятость,опыт работы от 1 года,Специалист по сопровождению программного обеспечения / Младший системный администратор,"Опыт работы в области ИТ не менее 2 лет. Высшее образование по направлению ИТ.Опыт сопровождения финансового программного обеспечения, умение работать с пользователями, ответственность, коммуникабельность.Навыки администрирования серверных ОС Windows, MS Exchange, Lotus Notes, хорошее знание клиентских ОС Windows и офисных программ MS Office.Опыт работы с системами виртуализации (vmware, hyper-v)Знание сетевых технологий и опыт настройки активного сетевого оборудования (коммутаторы L2, L3), UTM-систем.Навыки администрирования ОC семейства Linux, знание Microsoft failover cluster, vmware HA cluster будут плюсом.Желателен опыт составления конкурсной документации для гос. закупок программного обеспечения и вычислительной техники• Высшее образование• Английский язык (технический)",28000—30000₽,https://www.superjob.ru/vakansii/specialist-po-soprovozhdeniyu-programmnogo-obespecheniya-25491594.html
